"Rank","Title","Description","Runtime","Genre","Rating","Metascore","Votes","Gross_Earning_in_Mil","Director","Actor"
15,"The Predator","When a young boy accidentally triggers the universe's most lethal hunters' return to Earth, only a ragtag crew of ex-soldiers and a disgruntled scientist can prevent the end of the human race.",107,"Action",5.3,48,119560,51.02,"Shane Black","Boyd Holbrook"
16,"A Star Is Born","A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.",136,"Drama",7.6,88,348206,215.2,"Bradley Cooper","Lady Gaga"
17,"Deadpool 2","Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable.",119,"Action",7.7,66,502132,324.5,"David Leitch","Ryan Reynolds"
18,"Green Book","A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.",130,"Biography",8.2,69,409896,85.08,"Peter Farrelly","Viggo Mortensen"
19,"The VelociPastor","After losing his parents, a priest travels to China, where he inherits a mysterious ability that allows him to turn into a dinosaur. At first horrified by this new power, a hooker convinces him to use it to fight crime. And ninjas.",75,"Action",5.1,NA,4084,NA,"Brendan Steere","Greg Cohan"
20,"Jurassic World: Fallen Kingdom","When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.",128,"Action",6.2,51,275341,417.7,"J.A. Bayona","Chris Pratt"
21,"Bumblebee","On the run in the year 1987, Bumblebee finds refuge in a junkyard in a small California beach town. On the cusp of turning 18 and trying to find her place in the world, Charlie Watson discovers Bumblebee, battle-scarred and broken.",114,"Action",6.8,66,145873,127.2,"Travis Knight","Hailee Steinfeld"
22,"The Clovehitch Killer","A picture-perfect family is shattered when the work of a serial killer hits too close to home.",109,"Crime",6.6,59,20683,0.01,"Duncan Skiles","Dylan McDermott"
23,"Love, Simon","Simon Spier keeps a huge secret from his family, his friends and all of his classmates: he's gay. When that secret is threatened, Simon must face everyone and come to terms with his identity.",110,"Comedy",7.6,72,102862,40.83,"Greg Berlanti","Nick Robinson"
24,"A Simple Favor","Stephanie is a single mother with a parenting vlog who befriends Emily, a secretive upper-class woman who has a child at the same elementary school. When Emily goes missing, Stephanie takes it upon herself to investigate.",117,"Comedy",6.8,67,135004,53.55,"Paul Feig","Anna Kendrick"
25,"Bird Box","Five years after an ominous unseen presence drives most of society to suicide, a mother and her two children make a desperate bid to reach safety.",124,"Horror",6.6,51,293139,NA,"Susanne Bier","Sandra Bullock"
26,"Fifty Shades Freed","Anastasia and Christian get married, but Jack Hyde continues to threaten their relationship.",105,"Drama",4.5,31,58449,100.4,"James Foley","Dakota Johnson"
